Dataset,Cell group,Baseline AUC,Baseline AP,Full 5hmC2Stage AUC,Full 5hmC2Stage AP,Mean test rows,Mean positives
Brain,ASC1,0.9236 ± 0.0477,0.9527 ± 0.0326,0.9651 ± 0.0366,0.9745 ± 0.0230,597.2,360.6
Brain,ASC2,0.8639 ± 0.0655,0.9003 ± 0.0648,0.9679 ± 0.0197,0.9686 ± 0.0272,979.4,544.4
Brain,ENDO,0.8602 ± 0.0479,0.8927 ± 0.0508,0.9618 ± 0.0291,0.9624 ± 0.0333,919.2,505.6
Brain,EXC1,0.8328 ± 0.0430,0.8563 ± 0.0561,0.9668 ± 0.0138,0.9621 ± 0.0224,1632.4,783.8
Brain,EXC2,0.8289 ± 0.0461,0.8539 ± 0.0561,0.9659 ± 0.0095,0.9616 ± 0.0145,1675.8,801.0
Brain,INH,0.8853 ± 0.0500,0.9057 ± 0.0690,0.9445 ± 0.0331,0.9438 ± 0.0529,693.2,403.6
Brain,MGC,0.8515 ± 0.0450,0.8917 ± 0.0555,0.9734 ± 0.0116,0.9737 ± 0.0203,1151.8,637.6
Brain,ODC1,0.8948 ± 0.0258,0.9299 ± 0.0268,0.9602 ± 0.0220,0.9671 ± 0.0214,727.8,424.6
Brain,ODC2,0.8411 ± 0.0507,0.8757 ± 0.0546,0.9702 ± 0.0163,0.9687 ± 0.0239,1368.0,701.4
Brain,ODC3,0.9167 ± 0.0465,0.9398 ± 0.0390,0.9655 ± 0.0412,0.9690 ± 0.0343,597.4,341.0
Brain,OPC,0.8527 ± 0.0490,0.8833 ± 0.0563,0.9710 ± 0.0138,0.9694 ± 0.0208,1254.2,643.4
