dataset,task,model,seed,n_features,n_train,n_val,n_test,pos_train,pos_val,pos_test,pos_rate_train,pos_rate_val,pos_rate_test,val_auc,val_ap,test_auc,test_ap,val_brier,test_brier,val_ece,test_ece,val_best_threshold,val_best_f1,test_f1_at_val_threshold,test_precision_at_val_threshold,test_recall_at_val_threshold,test_specificity_at_val_threshold,test_balanced_accuracy_at_val_threshold,test_mcc_at_val_threshold,test_tp,test_fp,test_tn,test_fn,top1pct_precision,top1pct_recall,top1pct_n,top2pct_precision,top2pct_recall,top2pct_n,top5pct_precision,top5pct_recall,top5pct_n,top10pct_precision,top10pct_recall,top10pct_n,top15pct_precision,top15pct_recall,top15pct_n,top20pct_precision,top20pct_recall,top20pct_n,auc_ci_low,auc_ci_high,auc_boot_sd,ap_ci_low,ap_ci_high,ap_boot_sd,n_boot_effective,best_iteration
Brain,cell,rf,42,409,38511,5312,11029,19152,2622,5675,0.4973124561813508,0.4935993975903614,0.5145525432949497,0.8492823095398103,0.8849001684367069,0.8739640171867054,0.9109013515469844,0.13802166471728625,0.17452715226243606,0.038687235448730053,0.11593684225313848,0.37812250000000003,0.7673772011121408,0.8088897992625972,0.9657617999510882,0.6958590308370044,0.9738513261113186,0.8348551784741616,0.6929802241031983,3949,140,5214,1726,1.0,0.019559471365638768,111,1.0,0.03894273127753304,221,1.0,0.09726872246696035,552,1.0,0.1943612334801762,1103,1.0,0.2916299559471366,1655,0.9932003626473255,0.38607929515418504,2206,0.729285466257636,0.9335946068197938,0.055743243405623186,0.6745221270938172,0.9710100639380219,0.08138850333941276,1000,
Brain,cell,lgb,42,409,38511,5312,11029,19152,2622,5675,0.4973124561813508,0.4935993975903614,0.5145525432949497,0.8524272030488376,0.885905086166035,0.8702439116704708,0.9086976710191118,0.14004806532507685,0.1304729917847208,0.06877127336268846,0.049697506604132455,0.7582420000000001,0.759660697455231,0.7837090599744789,0.9882005899705014,0.6493392070484582,0.9917818453492716,0.8205605261988649,0.6773365831270965,3685,44,5310,1990,1.0,0.019559471365638768,111,1.0,0.03894273127753304,221,1.0,0.09726872246696035,552,1.0,0.1943612334801762,1103,1.0,0.2916299559471366,1655,1.0,0.3887224669603524,2206,0.7125589405556053,0.9331344060110274,0.05910422702679187,0.6465369668434511,0.9710474172341114,0.0879668244188308,1000,88.0
Brain,cell,rf,43,409,38107,5438,11307,18743,2760,5946,0.49185189072873753,0.5075395365943361,0.5258689307508623,0.8091365771557837,0.8497284732470455,0.8811465409665664,0.9174587570511676,0.17427749673532852,0.14717360322944922,0.09732036774909172,0.08888706335386005,0.23726350000000002,0.7339214570290267,0.7435914332784184,0.6113338389858056,0.9488731920618904,0.33090841260958775,0.639890802335739,0.36070687350292696,5642,3587,1774,304,1.0,0.01917255297679112,114,1.0,0.03817692566431214,227,1.0,0.09519004372687521,566,1.0,0.19021190716448033,1131,1.0,0.28540195089135556,1697,1.0,0.38042381432896066,2262,0.7005469782306146,0.9450134381319253,0.07135353683202032,0.5503506337632809,0.9787746965859999,0.12143133353434038,1000,
Brain,cell,lgb,43,409,38107,5438,11307,18743,2760,5946,0.49185189072873753,0.5075395365943361,0.5258689307508623,0.8280377011830157,0.8635690558965737,0.8590457812408926,0.8883992145351991,0.16740345586171185,0.172722973610923,0.08319675327483926,0.12978163439924048,0.3007,0.7510027769207034,0.7818833686983244,0.692008807149333,0.8985872855701312,0.5564260399179257,0.7275066627440285,0.4882222330395407,5343,2378,2983,603,1.0,0.01917255297679112,114,1.0,0.03817692566431214,227,1.0,0.09519004372687521,566,1.0,0.19021190716448033,1131,0.9994107248084856,0.28523377060208543,1697,0.9929266136162688,0.3777329297006391,2262,0.6759769550027493,0.9181033447057925,0.06610266597303124,0.5171705809661018,0.9636141647461709,0.12155592821652994,1000,52.0
Brain,cell,rf,44,409,38466,4983,11403,19213,2500,5736,0.4994800603130037,0.5017057997190447,0.5030255196001052,0.855461619009263,0.8928538614673909,0.8952049553324329,0.9229146123812267,0.16033091200453278,0.12799441837373282,0.09925128248427106,0.07023062126606171,0.378622,0.7895838177168101,0.8205897051474262,0.9615835090185055,0.7156555090655509,0.9710605258514206,0.8433580174584857,0.7094613420494569,4105,164,5503,1631,1.0,0.02004881450488145,115,1.0,0.03992329149232915,229,1.0,0.09954672245467225,571,1.0,0.19891910739191074,1141,1.0,0.29829149232914925,1711,1.0,0.39766387726638774,2281,0.7086920010205449,0.951386104801798,0.067897856493971,0.5789401508860349,0.9801109758500351,0.1165659658255533,1000,
Brain,cell,lgb,44,409,38466,4983,11403,19213,2500,5736,0.4994800603130037,0.5017057997190447,0.5030255196001052,0.8549907370116794,0.888301499168503,0.8840837783600718,0.9134788736882584,0.15868363795507295,0.1419766910153832,0.08453493995393628,0.09128964739865697,0.45854200000000006,0.7785665216395696,0.8030081062603769,0.9129469242727071,0.7167015341701534,0.930827598376566,0.8237645662733597,0.6623155795998297,4111,392,5275,1625,1.0,0.02004881450488145,115,1.0,0.03992329149232915,229,1.0,0.09954672245467225,571,1.0,0.19891910739191074,1141,1.0,0.29829149232914925,1711,0.9824638316527838,0.39069037656903766,2281,0.6877113503810023,0.944167989778246,0.07241433123459626,0.5300437227656238,0.975574378286011,0.12835031950985387,1000,63.0
Brain,cell,rf,45,409,38129,5229,11494,19210,2556,5683,0.5038159930761362,0.48881239242685026,0.494431877501305,0.8250561167227833,0.8507305359163687,0.8861547388403064,0.9158880861229265,0.18038126696569104,0.12228982097092847,0.09735077651179401,0.06779202691669192,0.2932075,0.7455660533731144,0.7766062602965403,0.730060399566362,0.8294914657751188,0.7000516262261228,0.7647715460006208,0.5335980134468287,4714,1743,4068,969,1.0,0.02023579095548126,115,1.0,0.04047158191096252,230,1.0,0.1011789547774063,575,1.0,0.2023579095548126,1150,1.0,0.3035368643322189,1725,1.0,0.40453985571001233,2299,0.6829923396928971,0.9486765586894353,0.07330158324640985,0.5415938173610796,0.9776422139789671,0.12384146248563588,1000,
Brain,cell,lgb,45,409,38129,5229,11494,19210,2556,5683,0.5038159930761362,0.48881239242685026,0.494431877501305,0.7826565955152288,0.8038813978547839,0.8642389380083456,0.8995368585054665,0.1873764247337057,0.12819890990850258,0.0841632320210326,0.09593348918466202,0.34415650000000003,0.7219101123595505,0.7318174218358134,0.6970855231724797,0.7701918001055781,0.6726897263810016,0.7214407632432898,0.4447638010629234,4377,1902,3909,1306,1.0,0.02023579095548126,115,1.0,0.04047158191096252,230,1.0,0.1011789547774063,575,1.0,0.2023579095548126,1150,1.0,0.3035368643322189,1725,1.0,0.40453985571001233,2299,0.6197781752909045,0.9379118678822246,0.08658602932406126,0.4589428557927791,0.9741366034068308,0.14492076250996688,1000,61.0
Brain,cell,rf,46,409,38271,5186,11395,19005,2687,5757,0.4965901073920201,0.5181257231006556,0.5052215884159719,0.8605715453282169,0.891386262686726,0.8724658070071305,0.9073477435919035,0.20072649345198018,0.14485075771269487,0.1566208254133266,0.07296220365808449,0.27772300000000005,0.787679529330334,0.7625821414766139,0.6870994706046253,0.856696195935383,0.6016317843206811,0.729163990128032,0.4746062948367944,4932,2246,3392,825,1.0,0.019801980198019802,114,1.0,0.039603960396039604,228,1.0,0.09900990099009901,570,1.0,0.19801980198019803,1140,1.0,0.297029702970297,1710,1.0,0.39586590237971164,2279,0.6891952467530466,0.938625441701344,0.07462417191170714,0.5791659516020116,0.9747375113011774,0.12391877040391384,1000,
Brain,cell,lgb,46,409,38271,5186,11395,19005,2687,5757,0.4965901073920201,0.5181257231006556,0.5052215884159719,0.9009680537641181,0.9231649643403091,0.854723675537771,0.8906827202985934,0.13122177903220664,0.14946741089084956,0.07597586218746813,0.07275402105989563,0.35114950000000006,0.8315054835493519,0.7606322920587127,0.8298090741120919,0.7021017891262811,0.852962043277758,0.7775319162020196,0.560967291485045,4042,829,4809,1715,1.0,0.019801980198019802,114,1.0,0.039603960396039604,228,1.0,0.09900990099009901,570,1.0,0.19801980198019803,1140,1.0,0.297029702970297,1710,1.0,0.39586590237971164,2279,0.6570033383827825,0.9290366430804273,0.08309986306239851,0.4884925810148577,0.9698979477068603,0.14858794538763687,1000,139.0
