cell_type,n_runs,spearman_mean,spearman_std,pearson_mean,pearson_std,rmse_mean,rmse_std,mae_mean,mae_std
OPC,5,0.6935141128906726,0.011430043595949848,0.7869811028482843,0.011590055840264691,1.5385097698942534,0.020403080213759413,1.2267956839312526,0.03712833718431718
ODC1,5,0.7455801481407093,0.0046056548800324755,0.8579672165130751,0.008333849530877692,1.6011694644171222,0.022513166833851635,1.2471601625599718,0.03902817689955831
ODC2,5,0.6262738927180065,0.004896292776563466,0.77354487805534,0.00783284034193025,1.4010833682517285,0.022094845759773322,1.1440037376484438,0.03726262001789474
ODC3,5,0.7889054942726398,0.0052377733746712925,0.7656348847492701,0.01002821664663492,2.0494869324613,0.017391231560820626,1.6292625414724025,0.03393421844694932
MGC,5,0.7481311290364766,0.005015680509791763,0.802535433931958,0.010176704488556945,1.6062838714199064,0.018536906192793533,1.2784026648609692,0.036895136043262784
INH,5,0.77754250884414,0.0029082708191422047,0.835259775346319,0.006899030748005086,1.7673484052879362,0.017061082673627437,1.4008055539958968,0.03020886156592413
ENDO,5,0.724348354477369,0.0043693052786050015,0.8457489455470644,0.007571844736324735,1.5517834186999082,0.02014075857918217,1.2285632618841569,0.03783374157771149
ASC1,5,0.7559694969998898,0.00526496628813257,0.864700758167138,0.008646014160514776,1.5198945438050628,0.021585403043541052,1.1936485970349666,0.035564015811355196
ASC2,5,0.6571810526595087,0.0010352396935965206,0.8413292203247155,0.0045351512928062205,1.3608142205250158,0.021022638109762827,1.0881413262275699,0.0371771936028841
EXC1,5,0.6524885252616579,0.005086540106274394,0.8063351981328786,0.00988861100513146,1.3705391342736357,0.024886729446790268,1.1184196111068332,0.0414664518123201
EXC2,5,0.6700495362338892,0.008665015706292922,0.7875538839319373,0.01149365579952619,1.43176258000487,0.02291890993350412,1.1565722894334205,0.03968125982670538
